,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
351,40000000.0,Nico Schlotterbeck,borussia-dortmund/startseite/verein/16,Germany,Germany,Y
352,20000000.0,Matthias Ginter,sc-freiburg/startseite/verein/60,Germany,Germany,Y
353,18000000.0,Thilo Kehrer,west-ham-united/startseite/verein/379,Germany,England,N
354,15000000.0,Benjamin Henrichs,rasenballsport-leipzig/startseite/verein/23826,Germany,Germany,Y
355,80000000.0,Joshua Kimmich,fc-bayern-munchen/startseite/verein/27,Germany,Germany,Y
356,65000000.0,Leon Goretzka,fc-bayern-munchen/startseite/verein/27,Germany,Germany,Y
357,15000000.0,Robin Gosens,inter-mailand/startseite/verein/46,Germany,Italy,N
358,85000000.0,Florian Wirtz,bayer-04-leverkusen/startseite/verein/15,Germany,Germany,Y
359,70000000.0,Leroy Sané,fc-bayern-munchen/startseite/verein/27,Germany,Germany,Y
360,60000000.0,Kai Havertz,fc-chelsea/startseite/verein/631,Germany,England,N
361,2500000.0,Lawrence Ati Zigi,fc-st-gallen-1879/startseite/verein/257,Ghana,Switzerland,N
362,300000.0,Abdul Nurudeen,kas-eupen/startseite/verein/1245,Ghana,Belgium,N
363,8000000.0,Joseph Aidoo,celta-vigo/startseite/verein/940,Ghana,Spain,N
364,1200000.0,Nicholas Opoku,amiens-sc/startseite/verein/1416,Ghana,France,N
365,2000000.0,Gideon Mensah,aj-auxerre/startseite/verein/290,Ghana,France,N
366,400000.0,Denis Odoi,fc-brugge/startseite/verein/2282,Ghana,Belgium,N
367,13000000.0,Salis Abdul Samed,rc-lens/startseite/verein/826,Ghana,France,N
368,2500000.0,Majeed Ashimeru,rsc-anderlecht/startseite/verein/58,Ghana,Belgium,N
369,22000000.0,Kamaldeen Sulemana,fc-southampton/startseite/verein/180,Ghana,England,N
370,1500000.0,Ernest Nuamah,fc-nordsjaelland/startseite/verein/2778,Ghana,Denmark,N
371,5000000.0,Osman Bukari,roter-stern-belgrad/startseite/verein/159,Ghana,Serbia,N
372,6000000.0,Jordan Ayew,crystal-palace/startseite/verein/873,Ghana,England,N
373,125000.0,Hafiz Konkoni,bechem-united-fc/startseite/verein/25065,Ghana,Ghana,Y
374,300000.0,Joe Wollacott,charlton-athletic/startseite/verein/358,Ghana,England,N
375,15000000.0,Daniel Amartey,leicester-city/startseite/verein/1003,Ghana,England,N
376,5000000.0,Alidu Seidu,clermont-foot-63/startseite/verein/3524,Ghana,France,N
377,700000.0,Kasim Adams,fc-basel-1893/startseite/verein/26,Ghana,Switzerland,N
378,450000.0,Patrick Kpozo,fc-sheriff-tiraspol/startseite/verein/2481,Ghana,Moldova,N
379,38000000.0,Thomas Partey,fc-arsenal/startseite/verein/11,Ghana,England,N
380,1000000.0,Edmund Addo,fk-spartak-subotica/startseite/verein/15276,Ghana,Serbia,N
381,30000000.0,Mohammed Kudus,ajax-amsterdam/startseite/verein/610,Ghana,Netherlands,N
382,2200000.0,André Ayew,nottingham-forest/startseite/verein/703,Ghana,England,N
383,12000000.0,Joseph Paintsil,krc-genk/startseite/verein/1184,Ghana,Belgium,N
384,2500000.0,Ransford-Yeboah Königsdörffer,hamburger-sv/startseite/verein/41,Ghana,Germany,N
385,750000.0,Kwasi Wriedt,holstein-kiel/startseite/verein/269,Ghana,Germany,N
386,1500000.0,Rúnar Alex Rúnarsson,alanyaspor/startseite/verein/11282,Iceland,Turkey,N
387,600000.0,Hákon Rafn Valdimarsson,if-elfsborg-boras/startseite/verein/1101,Iceland,Sweden,N
388,2000000.0,Hördur Magnússon,panathinaikos-athen/startseite/verein/265,Iceland,Greece,N
389,1500000.0,Alfons Sampsted,fc-twente-enschede/startseite/verein/317,Iceland,Netherlands,N
390,400000.0,Aron Gunnarsson,al-arabi-sc/startseite/verein/1230,Iceland,Qatar,N
391,1500000.0,Mikael Egill Ellertsson,venezia-fc/startseite/verein/607,Iceland,Italy,N
392,800000.0,Thórir Jóhann Helgason,us-lecce/startseite/verein/1005,Iceland,Italy,N
393,3500000.0,Arnór Sigurdsson,ifk-norrkoping/startseite/verein/2844,Iceland,Sweden,N
394,750000.0,Kristian Hlynsson,ajax-amsterdam-ii/startseite/verein/8817,Iceland,Netherlands,N
395,1000000.0,Mikael Anderson,aarhus-gf/startseite/verein/678,Iceland,Denmark,N
396,3500000.0,Ísak Bergmann Jóhannesson,fc-kopenhagen/startseite/verein/190,Iceland,Denmark,N
397,900000.0,Willum Thór Willumsson,go-ahead-eagles-deventer/startseite/verein/1435,Iceland,Netherlands,N
398,350000.0,Saevar Atli Magnússon,lyngby-bk/startseite/verein/369,Iceland,Denmark,N
399,700000.0,Elías Rafn Ólafsson,fc-midtjylland/startseite/verein/865,Iceland,Denmark,N
400,4000000.0,Sverrir Ingi Ingason,paok-thessaloniki/startseite/verein/1091,Iceland,Greece,N
401,350000.0,Daníel Leó Grétarsson,slask-wroclaw/startseite/verein/759,Iceland,Poland,N
